stage-name,dow,bname,gname,gender,dob,dod,role type,picture pointer,notes,award,,,,
Fred Allen,1935-1953,Sullivan,John F.,M,1894,1956,R:lead,Am,,,,,,
Gracie Allen,1933-1944,Allen,Gracie,F,1902,1964,R:scatterbrained comedienne,Am,,,,,,
Karen Allen,1978-1982,Allen,Karen,F,1955,199x,R:lead,Am,,,,,,
Nancy Allen,1973-1983,Allen,Nancy,F,1954,199x,R:lead,Am,,,,,,
Patrick Allen,1955-1982,Allen,Patrick,M,1927,199x,R:lead,Br,,,,,,
Rae Allen,,,,,[1],199x,RU:,Un,,,,,,
Steve Allen,1949-1989,Allen,Steve,M,1921,199x,R:dry comic,Am,,,,,,
Woody Allen,1965-1983,Konigsberg,Allen Stewart,M,1935,199x,R:confused innocent,Am,,,,,,
Joseph Allen jr.,,,,M,[1],199x,RU:,Un,,,,,,
Kirstie Alley,1982-1990,Alley,Kirstie,F,[1],199x,R:spunky,Am,,,,,,
Sara Allgood,1918-1950,Allgood,Sara,F,1883,1950,R:amiable,Ir,,,,,,
Claud Allister,1929-1953,Palmer,Claud,M,1891,1970,R:silly monocled,Br,,,,,,
Astrid Allwyn,1932-1943,Allwyn,Astrid,F,1909,1978,R:lead,Sw,,,,,,
June Allyson,1943-1978,Geisman,Ella,F,1917,199x,R:tomboy tease,Am,,,,,,
Pedro Almodovar,,Almodovar,Pedro,M,[1],199x,R:wild,Sp,,,,,,
Maria Conchita Alonso,,,,F,[1],199x,RU:,Un,,,,,,
Corinne Alphen,1983,,,F,[1],199x,R:beauty,Un,,,,,,
Kirk Alyn,1942-1950,Alyn,Kirk,M,1910,199x,R:lead,Am,,,,,,
Betty Amann,,,,F,[1],199x,RU:,Un,,,,,,
Leonora Amar,,,,F,[1],199x,RU:,Un,,,,,,
Don Ameche,1936-1983,Amici,Dominic Felix,M,1908,1993,R:pleasant hero,Am,,,,,,
Lucio Amelio,,,,M,[1],199x,RU:,Un,,,,,,
Leon Ames,1932-1972,Wycoff,Leon,1903,1993,199x,R:harassed or kindly father, suave professional man,Am,,,,,
Ramsay Ames,1944-1963,Philips,Ramsay,F,1919,199x,R:lead,Am,,,,,,
Suzy Amis,1993,Amis,Suzy,F,1962,199x,R:handsome,Am,,,,,,
John Amos,,,,M,[1],199x,RU:,Un,,,,,,
John Amplas,,,,M,[1],199x,RU:,Un,,,,,,
Dev Anand,1958-1980,bn,fn,M,,199x,R:hero,In dian,,,,,,
Glenn Anders,1930-1951,Anders,Glenn,M,1889,1981,R:sinister,Am,,,,,,
Luana Anders,1958-1982,Anders,Luana,F,1949,199x,R:lead,Am,,,,,,
Merry Anders,1952-1958,Anders,Merry,F,1932,199x,R:light lead,Am,,,,,,
Bridgette Andersen,,,,F,[1],199x,RU:,Un,,,,,,
Bibi Anderson,,,,M,[1],199x,R:transvestite,,,,,,,
E. Erich Anderson,,,,M,[1],199x,RU:,Un,,,,,,
Rochester,1930-1965,Anderson,Eddie,M,1905,1977,R:black comedian,Am,,,,,,
G.M. Anderson,1903-1965,Aronson,Max,M,1882,1971,R:cowboy,Am,,,,,,
Harriet Anderson,1955,Anderson,Harriet,F,[1],199x,R:nude villain,Sw,,,,,,
Herbert Anderson,194-1969,Anderson,Herbert,M,1917,199x,R:mild-mannered,Am,,,,,,
Ingrid Anderson,,,,F,[1],199x,RU:,Un,,,,,,
Jean Anderson,1947-1979,Anderson,Jean,F,1908,199x,R:sympathetic nurse, tired mother, spinster aunt,Br,,,,
John Anderson,1958-1978,Anderson,John,M,1922,199x,R:Tall, thin, pale-eyed,Am,,,,
Judith Anderson,1933-1984,Anderson,Dame Frances Margaret,F,1898,1992,R:icy presence,Au,,,,,,
Lindsay Anderson,1981,Anderson,Lindsay,M,1923,199x,RU:,Br,,,,,,
Loni Anderson,1977,Anderson,Loni,F,1947,199x,R:sexy blonde,Am,,,,,,
Mary Anderson,1939-1953,Anderson,Mary,F,1920,199x,R:supporting,Am,,,,,,
Melissa Sue Anderson,,,,F,[1],199x,RU:,Un,,,,,,
Michael Anderson jr.,1957-1971,Anderson,Michael,M,1943,199x,R:juvenile lead,,,,,,,
Richard Anderson,1951-1978,Anderson,Richard,M,1926,199x,R:thoughtful-looking,Am,,,,,,
Rona Anderson,1948-1969,Anderson,Rona,F,1926,199x,RU:,Br; Scots,,,,,,
Warner Anderson,1943-1968,Anderson,Warner,M,1911,1976,R:solid presence, no outstanding personality,Am,,,,,
Bibi Andersson,1955-1983,Andersson,Bibi,F,1935,199x,RU:,Sw,,,,,,
Harriet Andersson,1952-1972,Andersson,Harriet,F,1932,199x,RU:,Am,,,,,,
Carole Andre,,,,F,[1],199x,RU:,Un,,,,,,
Gabe Andre,,,,,[1],199x,RU:,Un,,,,,,
Frédŕic Andrei,,,,M,[1],199x,RU:,Un,,,,,,
Ursula Andress,1954-1981,Ursula,Andress,F,1936,199x,R:sex bomb,Zw,,,,,,
Anthony Andrews,1974-1981,Andrews,Anthony,M,1948,199x,R:lead,Br,,,,,,
Brian Andrews,,,,M,[1],199x,RU:,Un,,,,,,
Dana Andrews,1940-1979,Andrews,Carver Daniel,M,1909,1992,R:hard,Am,,,,,,
Eamonn Andrews,,Andrews,Éamonn,M,,1987,RU:,Ct,,,,,,
Edward Andrews,1955-1979,Andrews,Edward,M,1914,199x,R:beaming, bespectacled,Am,,,,,
Harry Andrews,1952-1980,Andrews,Harry,M,1911,1989,R:tough,Br,,,,,,
Julie Andrews,1964-1983,Wells,Julia,F,1934,199x,R:wholesome singer,Br,,,,,,
The Andrews Sisters,1940-1948,Patty, Maxine, Laverne,Andrews,G,1913,199x,RU:,Am,,,,
Stanley Andrews,1934-1958,Andrews,Stanley,M,1892,1969,R:grizzled western veteran,Am,,,,,,
Heather Angel,1930-1962,Angel,Heather,F,1909,199x,R:lead,Br,,,,,,
Pier Angeli,1950-1972,Pierangeli,Anna Maria,F,1932,1971,R:sensitive,It,,,,,,
The Hells Angels,,,,G,[1],199x,RU:,Un,,,,,,
Maya Angelou,1993,Angelou,Maya,F,1929,199x,R:poet,Am,,,,,,
Muriel Angelus,1930-1940,Findlay,M.A.,F,1909,199x,R:lead,Br,,,,,,
Ivy Angustain,,,,F,[1],199x,RU:,Un,,,,,,
Evelyn Ankers,1933-1960,Ankers,Evelyn,F,1918,199x,R:looked decorative, well-bred heroine,Br,,,,,
Morris Ankrum,1940-1961,Morris,Stephen,M,1896,1964,R:lawyer, judge, Western villain,Am,,,,
Francesca Annis,1958-1983,Annis,Francesca,F,1944,199x,R:lead,Br,,,,,,
AnnMargret,1961-1983,Olsson,Ann-Margret,F,1941,199x,R:sex symbol,Sw-Am,,,,,,
Michael Ansara,1944-1974,Ansara,Michael,M,1922,199x,R:Indian,Am,,,,,,
Karen Anspach,,,,F,[1],199x,RU:,Un,,,,,,
Susan Anspach,1970-1983,Anspach,Susan,F,1939,199x,R:stage,Am,,,,,,
Adam Ant,,,,M,[1],199x,RU:,Un,,,,,,
Lysette Anthony,,,,F,[1],199x,RU:,Un,,,,,,
Michael Anthony,,,,M,[1],199x,RU:,Un,,,,,,
Susan Anton,,,,F,[1],199x,RU:,Un,,,,,,
Laura Antonelli,,,,F,[1],199x,RU:,Un,,,,,,
Lou Antonio,,,,M,[1],199x,RU:,Un,,,,,,
Scott Antony,1972-1974,Antony,Scott,M,1950,199x,R:lead juvenile,Br,,,,,,
Aquanetta,1942-1946,Davenbort,Burnu,F,1920,199x,R:exotic,Am,,,,,,
Alfonso Arau,,,,M,[1],199x,RU:,Un,,,,,,
Roscoe Abuckle,1913-1921,Arbuckle,Roscoe (Fatty),M,1887,1933,R:comic,Am,,,,,,
Allan Arbus,,,,M,[1],199x,RU:,Un,,,,,,
Anne Archer,1970-1982,Archer,Anne,F,,199x,R:lead,Am,,,,,,
Fanny Ardant,1981-1984,Ardant,Fanny,F,1949,199x,R:lead,Fr,,,,,,
Eve Arden,1929-1982,Quedens,Eunice,F,1912,1990,R:best, cool friend,Am,,,,,
Carmen Argenziano,,,,F,[1],199x,RU:,Un,,,,,,
Adam Arkin,,,,M,[1],199x,RU:,Un,,,,,,
Alan Arkin,1966-1983,Arkin,Alan,M,1934,199x,R:lead,Am,,,,,,
David Arkin,,,,M,[1],199x,RU:,Un,,,,,,
Richard Arlen,1925-1976,van Mattemore,Cornelius,M,1898,1976,R:rugged hero,Am,,,,,,
Arletty,1931-1972,Bathiat,Leonie,F,1898,1992,R:world-weary,Fr,,,,,,
George Arliss,1921-1937,Andrews,George Augustus,M,1868,1946,R:autocratic,Br,,,,,,
Pedro Armendariz,1936-1963,Armendariz,Pedro,M,1912,1963,R:expansive,Me,,,,,,
Henry Armetta,1918-1946,Armetta,Henry,M,1888,1945,R:excitable, gesticulating foreigner,It,,,,,
Bess Armstrong,1982-1983,Armstrong,Bess,F,,199x,R:lead,Am,,,,,,
Curtis Armstrong,,,,M,[1],199x,RU:,Un,,,,,,
Louis Armstrong,1936-1969,Armstrong,Louis `Satchmo',M,1900,1971,R:black jazz musician,Am,,,,,,
R.G. Armstrong,1958-1982,Armstrong,R.G.,M,1920,199x,R:tough serious,Am,,,,,,
Robert Armstrong,1927-1963,Smith,Donald Robert,M,1890,1973,R:tough cop, scientist,Am,,,,,
Todd Armstrong,1962-1968,Armstrong,Todd,M,1939,199x,R:stalwart lead,Am,,,,,,
Yvonne Arnaud,1920-1958,Arnaud,Yvonne,F,1892,1958,RU:,Fr,,,,,,
Lucie Arnaz,1975-1983,Arnaz,Lucie,F,1951,199x,R:lead,,,,,,,
Desi Arnaz,1950-1982,Arnaz y de Acha,Desiderio,M,1915,1986,R:diminutive explosive romantic,Cu,,,,,,
Desi Arnaz jr.,1970-1983,Arnaz,Desi,M,1953,199x,R:juvenile lead,Am,,,,,,
Peter Arne,1955-1982,Albrecht,Peter Arne,M,1920,1983,R:villain,Br,,,,,,
James Arness,1947-1981,Aurness,James,M,1923,199x,R:giant,Am,,,,,,
Jeanetta Arnette,,,,F,[1],199x,RU:,Un,,,,,,
Edward Arnold,1916-1956,Schneider,Guenther,M,1890,1956,R:dynamic rotund,Am,,,,,,
Mark Arnott,,,,M,[1],199x,RU:,Un,,,,,,
Charles Arnt,1934-1962,Arnt,Charles,M,1908,199x,R:snoop, suspicious, or plain ordinary fellow,Am,,,,
Rosanna Arquette,,,,F,[1],199x,RU:,Un,,,,,,
Antonin Artaud,1926-1928,Artaud,Antonin,M,1895,1948,R:dabbling writer,Fr,,,,,,
Beatrice Arthur,1972-1983,Frankel,Bernice,F,1923,199x,R:dominant comedy,Am,,,,,,
George K. Arthur,1921-1935,Brest,G.K.A.,M,1899,199x,R:small but gamy,Br,,,,,,
Jean Arthur,1923-1966,Greene,Gladys,F,1905,1991,R:squeaky petite feminist,Am,,,,,,
Linda Arvidson,1908-1916,Arvidson-Griffith,Linda,F,1884,1949,R:lead,Am,,,,,,
Leslie Ash,,,,,[1],199x,RU:,Un,,,,,,
Peggy Ashcroft,1933-1978,Ashcroft,Dame Peggy,F,1907,1991,R:royal,Br,,,,,,
Jane Asher,1951-1972,Asher,Jane,F,1946,199x,R:lead,Br,,,,,,
Renèe Asherson,1944-1968,Asherson,Ren,F,1920,199x,RU:,Br,,,,,,
Edward Ashley,1933-1976,Cooper,E.A.,M,1904,199x,R:third lead,Br,,,,,,
Elizabeth Ashley,1964-1982,Cole,Elizabeth,F,1939,199x,R:cold sporadic,Am,,,,,,
Jennifer Ashley,,,,F,[1],199x,RU:,Un,,,,,,
John Ashley,,,,M,[1],199x,RU:,Un,,,,,,
Gregoire Asian,,,,,[1],199x,RU:,Un,,,,,,
Luke Askew,1967-1979,Askew,Luke,M,,199x,R:western,Am,,,,,,
Arthur Askey,1937-1972,Askey,Arthur,M,1900,1982,R:diminutive,Br,,,,,,
Ed Asner,1963-1983,Asner,Edward,M,1929,199x,R:chubby tough,Am,,,,,,
Chuck Aspegren,,,,M,[1],199x,RU:,Un,,,,,,
Armand Assante,,,,M,[1],199x,RU:,Un,,,,,,
Asta,1934-1947,,,A,,199x,R:wire-haired fox terrier,Un,,,,,,
Adele Astaire,,,,M,,1981,RU:,Ct,,,,,,
Fred Astaire,1933-1981,Austerlitz,Frederick,M,1899,1987,R:dancer,Am,,,,,,
Nils Asther,1927-1963,Asther,Nils,M,1897,1981,R:suave, exotic,Sw,,,,,
John Astin,1961-1977,Astin,John,M,1930,199x,R:comic,Am,,,,,,
Patty Duke Astin,1955-1982,Duke Astin,Patty,F,1946,199x,RU:,Am,,,,,,
Gertrude Astor,1927-1962,Astor,Gertrude,F,1887,1977,R:silent screen,Am,,,,,,
Mary Astor,1921-1964,Langehanke,Lucille,F,1906,1987,R:solid, character,Am,,,,,
William Atherton,1972-1983,Atherton,William,M,1947,199x,RU:,Am,,,,,,
Christopher Atkins,1980-1983,Atkins,Christopher,M,1961,199x,R:juvenile lead,Am,,,,,,
Eileen Atkins,1968-1983,Atkins,Eileen,F,1934,199x,R:character,Br,,,,,,
Kiyoshi Atsumi,1969-1996,Tadoroko,Yasuo,M,1928,1996,,Jp,,,,,,
Richard Attenborough,1942-1979,Attenborough,Sir Richard,M,1923,199x,R:coward, `wide range',Br,,,,,
Malcolm Atterbury,1954-1964,Atterbury,Malcolm,M,1907,199x,R:character,Am,,,,,,
Edith Atwater,1936-1976,Atwater,Edith,F,1911,199x,R:lead,Am,,,,,,
Lionel Atwill,1919-1946,Atwill,Lionel,M,1885,1946,R:teutonic villains,Br,,,,,,
Kim Atwood,,,,,[1],199x,RU:,Un,,,,,,
Brigitte Auber,1955,,,F,[1,6],199x,RU:,Un,,,,,
Rene Auberjonois,1970-1980,Auberjonois,René,M,1940,199x,R:character,Am,,,,,,
Lenore Aubert,1938-1949,Aubert,Leonore,F,1913,199x,R:sinister,Yu,,,,,,
Cecile Aubry,1949-1954,Benard,Anne-Jesè,F,1929,199x,R:petit,Fr,,,,,,
Joss Auckland,,,,M,[1],199x,RU:,Un,,,,,,
Michael Auclair,1946-1973,Vujovic,Vladimir,M,1922,199x,R:lead,Fr,,,,,,
Maxine Audley,1954-1969,Audley,Maxine,F,1923,199x,R:character,Br,,,,,,
Stephane Audran,1958-1982,Audran,Stéphane,F,1932,199x,R:cool,Fr,,,,,,
Audrey,,,,,[1],199x,RU:,Un,,,,,,
Mischa Auer,1928-1966,Ounskowsky,Mischa,M,1905,1967,R:wild, noble idiot,Ru,,,,,
Claudine Auger,1963-1980,Auger,Claudine,F,1942,199x,R:lead,Fr,,,,,,
Marie Ault,1924-1949,Cragg,Mary,F,1870,1951,R:dialect comedy,Br,,,,,,
JeanPierre Aumont,1931-1983,Salomons,Jean-Pierre,M,1909,199x,R:lead,Fr,,,,,,
John Austin,,,,M,[1],199x,RU:,Un,,,,,,
Daniel Auteuil,1985,Auteuil,Daniel,M,[1],199x,RU:,Fr,,,,,,
Gene Autry,1937-1950,Autry,Gene,M,1907,1998,R:easy-going cowboy,Am,,,,,,
Frankie Avalon,1960-1978,Avallone,Francis,M,1939,199x,R:light lead,Am,,,,,,
Luis Avalos,,,,M,[1],199x,RU:,Un,,,,,,
Doe Avedon,1954-1956,Avedon,Doe,F,1928,199x,R:lead,Am,,,,,,
Brian Avery,,,,M,[1],199x,RU:,Un,,,,,,
Margaret Avery,,,,F,[1],199x,RU:,Un,,,,,,
Nina Axelrod,,,,F,[1],199x,RU:,Un,,,,,,
Hoyt Axton,,,,M,[1],199x,RU:,Un,,,,,,
George Ayer,,,,M,[1],199x,RU:,Un,,,,,,
Dan Aykroyd,1980-1988,Aykroyd,Dan,M,,199x,R:comic lead,Am,,,,,,
Felix Aylmer,1933-1968,Aylmer Jones,Felix Edward,M,1889,1979,R:schoolmasters, bishops,Br,,,,,
Agnes Ayres,1919-1937,Hinkle,Agnes,F,1896,1940,R:silent lead,Am,,,,,,
Gregg Ayres,,,,M,[1],199x,RU:,Un,,,,,,
Lew Ayres,1929-1972,Ayer,Lewis,M,1908,1997,R:boyish lead,Am,,,,,,
Robert Ayres,1949-1968,Ayres,Robert,M,1914,1968,R:strong, silent,Ca,,,,,
Randle Ayrton,1918-1978,Ayrton,Randle,M,1869,1940,R:character,Br,,,,,,
Shabana Azmi,,,,F,[1],199x,RU:,Un,,,,,,
Charles Aznavour,1958-1976,Aznavurjan,Shahnour,M,1924,1992,R:small rugged lead,Tu,,,,,,
Candy Azzara,,,,F,[1],199x,RU:,Un,,,,,,
Hank Azaria,,,,M,1964,199x,R:comic,Un,,,,,,
Lauren Bacall,1944-1981,Perske,Betty Jean,F,1924,199x,R:sultry to resourceful,Am,,,,,,
Barbara Bach,1977-1981,Bach,Barbara,F,1951,199x,R:lead,Ge,,,,,,
Pamela Bach,,Bach,Pamela,F,1962,199x,RU:,Am,,,,,,
Amitabh Bachchan,1970-1980,bn,fn,M,1942,199x,R:romantic hero Am,,,,,,,
Jim Backus,1958-1980,Backus,Jim,M,1913,1989,R:burly comedian,Am,,,,,,
Kevin Bacon,1984-1990,,,M,[1],199x,RU:,Un,,,,,,
Hermione Baddeley,1940-1964,Baddely,Hermione,F,,1986,R:sr,Ct,,,,,,
Alan Badel,1953-1980,Badel,Alan,M,1923,1982,R:sensitive,Br,,,,,,
Buddy Baer,1949-1961,Baer,Jacob Henry,M,1915,199x,RU:,Am,,,,,,
Harry Baer,1979-1980,,,M,[1],199x,RU:,Un,,,,,,
Max Baer,1933-1958,Baer,Max,M,1909,1959,R:boxer,Am,,,,,,
Pearl Bailey,1047-1976,Bailey,Pearl,F,1918,1990,R:black singer,Am,,,,,,
Barbara Bain,1971-1973,Bain,Barbara,F,1932,199x,R:lead,Am,,,,,,
Fay Bainter,1934-1962,Bainter,Fay,F,1892,1968,R:stalwart matron,Am,,,,,,
Scott Baio,1978-1982,Baio,Scott,M,1961,199x,R:teenager,Am,,,,,,
Blanche Baker,1984-1990,,,F,[1],199x,RU:,Un,,,,,,
Carrol Baker,1953-1983,Baker,Carrol,F,1931,199x,R:sex symbol,Am,,,,,,
Diane Baker,1959-1971,Baker,Diane,F,1936,199x,R:demure,Am,,,,,,
Hylda Baker,1960-1973,Baker,Hylda,F,1909,199x,R:comedienne,Br,,,,,,
Joe Don Baker,1967-1979,Baker,Joe Don,M,1943,199x,R:tough,Am,,,,,,
Josephine Baker,1927,Baker,Josephine,F,1906,1975,R:sexy dancer,Am,,,,,,
Kathy Baker,1987-1990,,,F,[1],199x,R:good girl,Am,,,,,,
Kenny Baker,1936-1946,Baker,Kenny,M,1912,199x,R:crooner,Am,,,,,,
Ruby Baker,1982,,,F,[1],199x,RU:,Un,,,,,,
Stanley Baker,1941-1975,Baker,Sir Stanley,M,1927,1976,R:virile,Br; Welsh,,,,,,
Tom Baker,1971-1975,Baker,Tom,M,1935,199x,R:larger than life,Br,,,,,,
Bob Balaban,1978-1966,Balaban,Bob,M,1965,199x,R:character,Am,,,,,,
Jill Balcon,1947,Balcon,Jill,F,1925,199x,RU:,Br,,,,,,
Rebecca Balding,,,,F,[1],199x,RU:,Un,,,,,,
Adam Baldwin,1980-1989,,,M,[1],199x,RU:,Un,,,,,,
Alec Baldwin,1988-1990,Baldwin,Alec,M,195x,199x,R:peevish,,,,,,,
Daniel Baldwin,,Baldwin,Daniel,M,[1],199x,RU:,Am,,,,,,
Stephen Baldwin,,Baldwin,Stephen,M,1963+,199x,RU:,Am,,,,,,
William Baldwin,1989-1990,Baldwin,William (Billy),M,1963,199x,RU:,Am,,,,,,
Betty Balfour,1928-1945,Balfour,Betty,F,1903,199x,R:comedienne,Br,,,,,,
Mireille Balin,1933-1937,Balin,Mireille,F,1909,1968,R:lead,Fr,,,,,,
Florinda Balkan,1970-1975,,,F,[1],199x,R:mistress,,,,,,,
Lucille Ball,1933-1973,Ball,Lucille,F,1910,1989,R:comedienne,Am,,,,,,
Vincent Ball,1956-1960,Ball,Vincent,M,*,199x,RU:,Au,,,,,,
