AA,title,actor,type,role
AcG10,"Fedora, or Piu Forte dell'Odio e Amore",Pina Menichelli,Und,RU:
ACj110,I Can Take Care of Myself,Myron McCormick,Und,R:piano player
ACj110,I Can Take Care of Myself,Frankie Darro,Und,"R:mobster, punched"
ACj110,I Can Take Care of Myself,Linda Lawson,Und,"R:beautiful singer, insults mobster, killed"
ACj110,I Can Take Care of Myself,Pat Harrington jr.,Und,"R:goon, pretends to sell life insurance"
ACj110,I Can Take Care of Myself,Will Kuluva,Und,"RZ:goon, pretends to be detective"
ACj110,I Can Take Care of Myself,Leonard Weinrib,Und,RZ:nightclub owner
ACj110,I Can Take Care of Myself,Edmon Ryan,Und,RU:
ACj110,I Can Take Care of Myself,William Sharon,Und,R:back-up pianist
ACj111,The Money,Robert Loggia,Und,R:ingratiating bookie
ACj111,The Money,Doris Dowling,Und,R:money-hungry girlfriend
ACj111,The Money,Will Kuluva,Und,"R:father's friend, importer"
ACj111,The Money,Wolfe Barzell,Und,R:importer's collegue
ACj111,The Money,Monica May,Und,R:importer's secretary
ACj112,The Man Who Found The Money,Arthur Hill,Und,"R:gambler, finds and turns in money clip, accused"
ACj112,The Man Who Found The Money,R.G. Armstrong,Und,R:police captain
ACj112,The Man Who Found The Money,Rod Cameron,Und,R:clip's owner
ACj113,The Kiss Off,Rip Torn,Und,"R:falsely convicted, takes revenge"
ACj113,The Kiss Off,Mary Munday,Und,R:witness in tax office
ACj113,The Kiss Off,Ken Patterson,Und,"R:teller, held up"
ACj113,The Kiss Off,Florence McMichael,Und,R:wife
ACj113,The Kiss-Off,Harry Swooger,Und,"R:surly taxi-driver, witness"
ACj113,The Kiss Off,Don Keefer,Und,RZ:desk clerk
ACj113,The Kiss-Off,Frank Sully,Und,RZ:cop
ACj113,The Kiss-Off,Bert Freed,Und,"R:district attorney, concedes ""Cooper"""
ACj114,Deathmate,Lee Phillips,Und,R:handsome con-man
ACj114,Deathmate,Gia Scala,Und,R:mistress
ACj114,Deathmate,Les Tremaye,Und,"R:wimpy husband, suspect, murdered"
ACj114,Deathmate,Ann Stanton,Und,RU:
ACj114,Deathmate,Russell Collins,Und,R:detective
ACj115,Gratitude,Peter Falk,Und,"R:racketeer, fears death"
ACj115,Gratitude,Paul Hartman,Und,"R:devoted valet, shoots boss"
ACj115,Gratitude,Edmund Haskin,Und,"RZ:police luitenant, after gamblers"
ACj115,Gratitude,John Dennis,Und,RZ:racketeer
ACj115,Gratitude,Bert Rensen,Und,RU:
ACj115,Gratitude,Karl Lukas,Und,RU:
ACj115,Gratitude,Ada Stewart,Und,R:gambles
ACj115,Gratitude,Phil Gordon,Und,RU:
ACj115,Gratitude,Clegg Hoyt,Und,RU:
ACj116,The Gloating Place,Susan Harrison,Und,"R:fakes assault, strangled"
ACj117,Servant Problem,John Emery,Und,R:has to cook for party
ACj117,Servant Problem,Jo vanFleet,Und,"R:boozy wife, shows up"
ACj117,Servant Problem,Alice Frost,Und,R:influential guest
ACj118,The Hat Box,Paul Ford,Und,"R:professor, murder suspect"
ACj118,The Hat Box,Billy Gray,Und,R:cheating student
ACj118,The Hat Box,Frank Maxwell,Und,"R:police agent, mollified"
ACj119,Keep Me Company,Anne Francis,Inn,R:bored wife
ACj119,Keep Me Company,Edmund Hashim,Vil,"R:works late, robber"
ACj119,Keep Me Company,Jack Ging,Agt,R:detective
ACj120,Beta Delta Gamma,Duke Howard,Und,R:beery student
ACj120,Beta Delta Gamma,Burt Brinckerhoff,Und,R:challenged
ACj121,The Right Kind of Medicine,Robert Redford,Und,"R:burglar, kills cop, clerk"
ACj121,The Right Kind of Medicine,Russell Collins,Und,"R:pharmacist, makes mistake in prescription"
ACj121,The Right Kind of Medicine,George Clarke,Und,R:unsavory doctor
ACj121,The Right Kind of Medicine,Joby Baker,Und,"R:phramacist's clerk, shot"
ACj121,The Right Kind of Medicine,Bernard Kates,Und,R:witness
ACj121,The Right Kind of Medicine,King Calder,Und,"R:police luitenant, gloats"
ACj121,The Right Kind of Medicine,Bob Karnes,Und,R:police sergeant
ACj121,The Right Kind of Medicine,Bert Remsen,Und,R:cop with cough
ACj121,The Right Kind of Medicine,Harry Swoger,Und,R:neighbor
ACj122,The Case of M.J.H.,Barbara Baxley,Und,R:lonely assistamt
ACj122,The Case of M.J.H.,Ted Newton,Und,R:psychiatrist boss
ACj122,The Case of M.J.H.,Robert Loggia,Und,"R:petty crook, blackmails"
ACj122,The Case of M.J.H.,Richard Gaines,Und,"R:blackmailed, kills crook"
ACj123,The Woman Who Wanted to Live,Lola Allbright,Und,R:accosted
ACj123,The Woman Who Wanted to Live,Charles Bronson,Und,R:escaped convict
ACj124,Apex,Mark Miller,Und,R:unfaithful husband
ACj124,Apex,Vivienne Segal,Und,"R:rich wife, poisoned"
ACj124,Apex,Pat Breslin,Und,"R:wife's friend, mistress, deceives lover, killed"
ACj125,The Big Kick,Brian Hutton,Und,R:beatnik
ACj125,The Big Kick,Anne Helm,Und,R:beatnik
ACj125,The Big Kick,Wayne Rogers,Und,"R:older guy, deceives, kills"
ACj126,The Night of the Owl,Brian Keith,Und,"R:protective forest ranger, blackmailed"
ACj126,The Night of the Owl,Patricia Breslin,Und,R:wife
ACj126,The Night of the Owl,Claudia Cravey,Und,R:adopted
ACj127,House Guest,Robert Sterling,Und,R:rescuer
ACj127,House Guest,Billy Mumy,Und,R:saved son
ACj127,House Guest,MacDonald Carey,Und,R:father
ACj127,House Guest,Peggy McKay,Und,R:mother
ACj127,House Guest,s a,Und,"R:camper, in on scam"
ACj128,Last Seen Wearing Bluejeans,Michael Wilding,Und,R:british tourist
ACj128,Last Seen Wearing Bluejeans,Anna Lee,Und,R:wife
ACj128,Last Seen Wearing Bluejeans,Katherine Crawford,Und,"R:daughter, becomes witness"
ACj128,Last Seen Wearing Bluejeans,Randy Boone,Und,R:helpful rancher
ACj128,Last Seen Wearing Bluejeans,s a,Und,R:crooked cafe owner
ACl10,"Rita, Sue and Bob Too",George Costigan,Und,R:middle-class Don Juan
ACl10,"Rita, Sue and Bob Too",Siobhan Finneran,Und,"R:teenager, lover ""Rita"""
ACl10,"Rita, Sue and Bob Too",Michelle Holmes,Und,"R:teenager, lover ""Sue"""
ACl10,"Rita, Sue and Bob Too",Lesley Sharp,Und,RU:
ACl10,"Rita, Sue and Bob Too",Kulvinder Ghir,Und,RU:
ACt10,Fiend Without a Face,Marshall Thompson,Und,"R:scientist, threatened"
ACu15,"Murder, Obliquely",Laura Dern,Und,"R:loves Dwight ""Annie"""
ACu15,"Murder, Obliquely",Alan Rickman,Und,"R:engaged ""Dwight:"""
ACu15,"Murder, Obliquely",Diane ladd,Und,"R:fiancee, disappearsx"
ACu20,The Little Princess,Liesel Mathews,Und,"R:exuberant girl ""Sara Crewes"""
ACu20,The Little Princess,Eleanor Brown,Und,"R:headmistress ""Miss Minchin"""
ACu23,Great Expectations,Gwyneth Paltrow,Und,"R:ccold, beautiful duchess Estella"""
ACu23,Great Expectations,Ethan Hawke,Und,"R:painter ""Finn"""
ACu23,Great Expectations,Robert deNiro,Und,R:benefactor
ACu23,Great Expectations,Anne Bancroft,Und,RU:
ACv10,Therese,Catherine Mouchet,Und,"R:saint ""Theresa"""
ACv10,Therese,Aurore Prieto,Und,RU:
ACv10,Therese,Sylvie Habault,Und,RU:
ACx10,Repo Man,Harry Dean Stanton,Und,R:sociopath
ACx10,Repo Man,Emilio Estevez,Und,R:sociopath
ACx10,Repo Man,Tracey Walker,Und,R:acidhead philosopher
ACx10,Repo Man,Vonetta McGee,Und,"RN:""Marlene"""
ACx10,Repo Man,Fox Harris,Und,R:lobotomized scientist
ACx12,Sid and Nancy,Gary Oldman,Und,"R:punk rocker, destroyed ""Sid Vicious"""
ACx12,Sid and Nancy,Chloe Webb,Und,R:American girlfriend
ACx12,Sid and Nancy,David Hayman,Und,RU:
ACy10,Les Amants de Verone,Pierre Brasseur,Und,"R:star, lover"
ACy10,Les Amants de Verone,Anouk Aimee,Und,"R:stand-in starlet, love"
ACy10,Les Amants de Verone,Serge Reggiani,Und,"R:studio carpenter, lover"
ACy14,Justice est Fait,Claude Noiller,Und,R:accused of murder of her lover
ACy14,Justice est Fait,Valentine Tessier,Und,R:juror
ACy20,TZ:Eye for an Eye,Curt Jurgens,Und,R:doctor
ACy20,TZ:Eye for an Eye,Folco Lulli,Und,R:demented
ACy20,TZ:Eye for an Eye,Lea Padovani,Und,"RZ:wife, dies"
ACy38,Verdict,Jean Gabin,Und,"R:judge, kidnapped"
ACy38,Verdict,Sophia Loren,Und,R:gangster's widow
ACy38,Verdict,Henri Garcin,Und,"R:gangster's son, accused"
ACy38,Verdict,Julien Bertheau,Und,RU:
AD40,Aerograd,Semyon Shaigada,Und,R:guard
AD40,Aerograd,Stepan Shkurat,Und,RU:
AD40,Aerograd,Sergei Stolyarov,Und,RU:
ADA10,The Memory of the Other,Lyda Bonelli,Und,RU:
ADA10,The Memory of the Other,Mario Bonnard,Und,RU:
AdB21,The Constant Nymph,Ivor Novello,Und,R:composer
AdB21,The Constant Nymph,Mary Clare,Und,RU:
AdB21,The Constant Nymph,Mabel Poulton,Und,RU:
AdB21,The Constant Nymph,Benita Hume,Und,RU:
ADg10,The Moneytree,Christopher Dienstag,Und,R:grows weed
ADg10,The Moneytree,Monica Caldwell,Und,R:worried girlfriend
AdL6,Nine 1/2 Weeks,Kim Basinger,"Lov, Vic","R:art gallery assistant, divorcee, falls ""Elizabeth"""
AdL6,Nine 1/2 Weeks,Mickey Rourke,Lov,"R:weird enigmatic arbitrageur, plays with sex, emotions ""John"""
AdL6,Nine 1/2 Weeks,Margaret Whitton,Sdk,"R:sensible collegue, sexy friend"
AdL6,Nine 1/2 Weeks,Karen Young,Sdk,R:collegue
AdL6,Nine 1/2 Weeks,Roderick Cook,Und,R:critic
