H,title,year,director,producer,studio,process code,category code,awards
H48,Strangers on a Train,1951,D:Hitchcock,P:Hitchcock,St:Warners,bnw,Susp,H***
H49,I Confess,1952,D:Hitchcock,P:Hitchcock,St:Warners,bnw,Susp,
H50,Dial M for Murder,1954,D:Hitchcock,P:Hitchcock,St:Warners,Wcol 3D,Susp,H**
H51,Rear Window,1954,D:Hitchcock,P:Hitchcock,St:Paramount,Tcol,Susp,"H***, AAN dir"
H52,To Catch a Thief,1955,D:Hitchcock,P:Hitchcock,St:Paramount,Tcol,Susp,aw
H53,The Trouble with Harry,1956,D:Hitchcock,P:Hitchcock,St:Paramount,Tcol,Susp,
H57,The Man Who Knew Too Much,1956,D:Hitchcock,P:Hitchcock,St:Paramount,Tcol,Susp,H*
H61,The Wrong Man,1957,D:Hitchcock,P:Hitchcock,St:Warners,bnw,"Susp,Docu",
H65,Vertigo,1958,D:Hitchcock,"P:Hitchcock, Robert Coleman",St:Paramount,"Tcol, Vistavision",Susp,H**
H69,North by Northwest,1959,D:Hitchcock,P:Hitchcock,St:MGM,Tcol,Susp,H****
H73,Psycho,1960,D:Hitchcock,P:Hitchcock,"St:Shamley, Universal, SD:Paramount",bnw,Susp,"AAN Dir, NFR, Z*"
H79,The Birds,1963,D:Hitchcock,P:Hitchcock,St:Universal,Tcol,Susp,H***
H80,Marnie,1964,D:Hitchcock,P:Hitchcock,St:Universal,col,Susp,
H81,Torn Curtain,1966,D:Hitchcock,P:Hitchcock,St:Universal,Tcol,Susp,H**
H82,Topaz,1969,D:Hitchcock,P:Hitchcock,St:Universal,Tcol,Susp,H*
Fig.3-9,H83,Frenzy,1972,D:Hitchcock,P:Hitchcock,St:Pinewood,Tcol,Susp
H84,Family Plot,1976,D:Hitchcock,P:Hitchcock,St:Universal,col,Susp,
H40,Aventure Malgache,1944,D:Hitchcock,PN:Ministry of Inf.,St:Elstree,bnw,Advt,
H41,Bon Voyage,1944,D:Hitchcock,PN:Ministry of Inf.,St:Elstree,bnw,Advt,
H54,Revenge,1955,D:Hitchcock,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,
H55,Breakdown,1955,D:Hitchcock,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,
H56,The Case of Mr. Pelham,1955,D:Hitchcock,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,
H58,Back For Christmas,1956,D:Hitchcock,P:Hitchcock,"St:Shamley, CBS","bnw,TV",Susp,
H59,Wet Saturday,1956,D:Hitchcock,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,
H60,Mr. Blanchhard's Secret,1956,D:Hitchcock,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,
H62,One More Mile To Go,1957,D:Hitchcock,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,
H63,Four O'Clock,1957,D:Hitchcock,P:Hitchcock,"St:Shamley, NBC","bnw,TV",Susp,
H64,The Perfect Crime,1957,D:Hitchcock,"P:Hitchcock, J.Harrison","St:Shamley,CBS","bnw,TV",Susp,
H66,Lamb To The Slaughter,1958,D:Hitchcock,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,
H67,A Dip In The Pool,1958,D:Hitchcock,"P:Hitchcock,J.Harrison","St:Shamley,CBS","bnw,TV",Susp,
H68,Poison,1958,D:Hitchcock,"P:Hitchcock,J.Harrison","St:Shamley,CBS","bnw,TV",Susp,
H70,Banquo's Chair,1959,D:Hitchcock,"P:Hitchcock, J.Harrison","St:Shamley,CBS","bnw,TV",Susp,
H71,Arthur,1959,D:Hitchcock,"P:Hitchcock, J.Harrison","St:Shamley,CBS","bnw,TV",Susp,
H72,The Crystal Trench,1959,D:Hitchcock,"P:Hitchcock, J.Harrison","St:Shamley,CBS","bnw,TV",Susp,
H74,Incident At A Corner,1960,D:Hitchcock,"P:Hitchcock, J.Harrison","St:Shamley,NBC","bnw,TV",Susp,
H75,Mrs. Bixby And The Colonel's Coat,1960,D:Hitchcock,"P:Hitchcock, J.Harrison","St:Shamley, NBC","bnw,TV",Susp,
H76,The Horseplayer,1961,D:Hitchcock,"P:Hitchcock,J.Harrison","St:Shamley,CBS","bnw,TV",Susp,
H77,Bang! You're Dead,1961,D:Hitchcock,"P:Hitchcock,J.Harrison","St:Shamley,CBS","bnw,TV",Susp,
H78,I Saw The Whole Thing,1962,D:Hitchcock,"P:Hitchcock,J.Harrison","St:Shamley,CBS","bnw,TV",Susp,
WKD10,The Edison Kinetopic Record of A Sneeze,1893,D:,Dickson,PN:Thomas A. Edison,St:Edison,bws,Docu
WKD50,"Terrible Teddy, the Grizzly King",1901,D:Dickson,PN:Thomas A. Edison,St:Edison,bws,Comd,aw
ALu1,La Premiere Seance du Salon Indien au Grand Café,1895,D:A.Lumiere,P:A.Lumiere,St:Lumiere,bws,,
ALu2,La Sortie des Usines Lumière,1895,D:A.Lumiere,PN:,St:Lumiere,sbw,Docu,
ALu3,Arrivée d'un train en Gâre de la Ciatat,1895,D:A.Lumiere,PN:,St:Lumiere,sbw,Docu,
ALu4,Le Gouter de Bébé,1895,D:A.Lumiere,PN:,St:Lumiere,,,
ALu5,L'Arroseur arrossé,1895,D:A.Lumiere,PN:,St:Lumiere,,Comd,
ALu6,Barque Quittant le Port,1895,D:A.Lumiere,PN:,St:Lumiere,,Docu,
ALu7,Boules,1895,D:A.Lumiere,PN:,St:Lumiere,,,
ALu30,L'assissinatat du Duc de Guise,1908,D:A.Lumiere,PN:,St:Lumiere,,Actn,
ESP9,Jack and the Beanstalk,1902,D:E.S.Porter,P:,St:Edison,bws,Comd,
ESP10,Uncle Tom's Cabin,1902,D:E.S.Porter,P:,St:Edison,bws,Comd,
ESP11,Life of an American Fireman,1903,D:E.S.Porter,P:,St:Edison,bws,West,
ESP12,The Great Train Robbery,1903,D:E.S.Porter,P:,St:Edison,bws,West,H***
ESP16,The Little Train Robbery,1905,D:E.S.Porter,P:,St:Edison,bws,,
ESP17,The Kleptomaniac,1905,D:E.S.Porter,P:,St:Edison,bws,,
ESP25,The Count of Monte Christo,1912,D:E.S.Porter,P:Zukor,St:Famous,bws,Dram,
ESP26,The Prisoner of Zenda,1912,D:E.S.Porter,P:Zukor,St:Famous,bws,Dram,
ESP27,His Neighbor's Wife,1912,D:E.S.Porter,P:Zukor,St:Famous,bws,Dram,
ESP28,Tess of the d'Ubervilles,1912,D:E.S.Porter,P:Zukor,St:Famous,bws,Dram,
ESP30,An American Citizen,1913,D:E.S.Porter,P:Zukor,St:Famous,bws,,
ESP31,A Good Little Devil,1913,D:E.S.Porter,P:Zukor,St:Famous,bws,,
ESP32,In The Bishop's Carriage,1913,D:E.S.Porter,P:Zukor,St:Famous,bws,,
ESP33,Caprice,1913,D:E.S.Porter,P:Zukor,St:Famous,bws,,
ESP34,Hearts Adrift,1913,D:E.S.Porter,P:Zukor,St:Famous,bws,,
ESP40,Tess of The Storm Country,1914,D:E.S.Porter,P:Zukor,St:Famous,bws,Dram,
GMs1,L'Escamontage d'une Dame,1896,D:Melies,PN:,SL:Fr,sbw,,
GMs2,L'Homme orchestre,1900,D:Melies,PN:,SL:Fr,sbw,,
GMs4,Cinderella,1900,D:Melies,PN:,SL:Fr,,Fant,
GMs6,Le voyage dans la lune,1902,D:Melies,PN:,SL:Fr,,ScFi,
GMs8,Danseuse Microscopique,1902,D:Melies,PN:,SL:Fr,bws,ScFi,
GMs12,An Impossible Voyage,1904,D:Melies,PN:,SL:Fr,bws,Ctxx,
GMs20,L'Homme a la Tete en Caoutchouc,1906,D:Melies,PN:,SL:Fr,bws,Fant,
AMv10,The Downward Path,1900,D:A. Marvin,PN:,St:Biograph,sbw,Dram,
WRB10,The Magic Sword or A Medieval Mystery,1891,Booth,PN:,SU:,sbw,Fant,
CPa1,La Passion,1902,D:Pathe,P:Pathe,St:Pathe,,,
CPa50,Les Misérables,1909,D:Pathe,PN:,SU:,sbw,Dram,
WHa1,The Maniac's Guillotine,1902,D:Haggar,P:Haggar,SU:,bws,Horr,
WHa8,The Life of Charles Pierce,1905,D:Haggar,P:Haggar,SU:,bws,BioP,
WMc10,Kit Carson,1903,D:McCutcheon,PN:,St:Biograph,bws,Advt,aw
ThE10,Parsifal,1904,D:Edison,PN:Edison,St:Edison,bws,"Musc, BioP",
JaC1,The Wagon Trails,1906,D:Cruze,PU:,SU:,col,Advt,
JaC7,Too Many Millions,1918,D:Cruze,PN:,SU:,prc,CTxx,aw
JaC10,The Covered Wagon,1923,D:Cruze,PN:,SU:,prc,West,aw
JaC12,Hollywood,1918,D:Cruze,PN:,SU:,prc,CTxx,aw
JaC15,Ruggles of Red Gap,1918,D:Cruze,PN:,SU:,prc,West,aw
JaC20,Beggars on Horseback,1925,D:Cruze,PN:,SU:,prc,West,aw
JaC23,Pony Express,1925,D:Cruze,PN:,SU:,prc,West,aw
JaC25,Old Ironsides,1926,D:Cruze,PN:,SU:,bws,Advt,aw
JaC33,Washington Merry Go Round,1932,D:Cruze,PN:,SU:,prc,CTxx,aw
JaC35,I Cover the Waterfront,1933,D:Cruze,PN:,SU:,prc,CTxx,aw
JaC40,Sutter's Gold,1936,D:Cruze,PN:,SU:,prc,CTxx,aw
GKS60,The Dead Man's Claim,1912,D:Spoor,P:Spoor,St:Essanay,bws,West,
LMi1,The Last Days of Pompeii,1908,D:Maggi,PN:,SL:Italy,bws,Hist,
LMi5,Nero and the Burning of Rome,1909,D:Maggi,PN:Arturo Ambrosio,St:Ambrosio,bws,Hist,
LMi23,Autumn Sunset Dream,1911,D:Maggi,PN:,St:Ambrosio,bws,Dram,
LMi25,The Ship with the Lions,1912,D:Maggi,PN:,St:Ambrosio,bws,Dram,
LMi35,The Lion of Venice,1914,D:Maggi,PN:,St:Ambrosio,bws,Dram,
DWG02,At the French Ball,1908,D:Griffith,PN:,SU:,prc,Ctxx,aw
DWG03,Calamitous Elopement,1908,D:Griffith,PN:,SU:,prc,Ctxx,aw
DWG1,The Adventures of Dolly,1908,D:Griffith,PN:,SU:,prc,Ctxx,aw
DWG3,For the Love of Gold,1908,D:Griffith,PN:,SU:,prc,Ctxx,aw
DWG5,The Call of the Wild,1908,D:Griffith,PN:,SU:,prc,Ctxx,aw
DWG6,Lines of White on a Sullen Sea,1908,D:Griffith,PN:,SU:,prc,Ctxx,aw
DWG7,The Sealed Room,1909,D:Griffith,PN:,SU:,prc,Dram,aw
DWG8,A Corner in Wheat,1909,D:Griffith,PN:,SU:,sbw,Dram,
DWG9,The Lonely Villa,1909,D:Griffith,PN:,SU:,prc,Dram,aw
DWG10,The Life of Edgar Allen Poe,1909,D:Griffith,PN:,SU:,,BioP,
DWG11,The Curtain Pole,1909,D:Griffith,PN:,SU:,,Comd,
DWG15,Song of the Wildwood Flute,1910,D:Griffith,PN:,SU:,bws,West,
DWG16,Love Among the Roses,1910,D:Griffith,PN:,SU:,prc,Ctxx,aw
DWG25,The Lonedale Operator,1911,D:Griffith,PN:,SU:,prc,Ctxx,aw
DWG26,Paradise Lost,1911,D:Griffith,PN:,SU:,prc,Ctxx,aw
DWG27,Enoch Arden,1911,D:Griffith,PN:,SU:,prc,Dram,aw
DWG29,The Cowboy Doctor,1911,D:Griffith,PN:,SU:,prc,Ctxx,aw
DWG33,Man's Genesis,1912,D:Griffith,PN:,SU:,prc,Ctxx,aw
DWG35,The Musketeers of Pig Alley,1912,D:Griffith,PN:,SU:,prc,Ctxx,aw
DWG40,The Raven,1912,D:Griffith,PN:,SU:,,BioP,
DWG47,The New York Hat,1912,D:Griffith,PN:,SU:,prc,CTxx,
DWG49,The Battle at Elderbush Gulch,1913,D:Griffith,PN:,St:Biograph,bws,West,
DWG50,Judith of Bethulia,1913,D:Griffith,PN:,St:Biograph,bws,Dram,
DWG51,The Clansman,1915,D:Griffith,PN:,St:D.W.Griffith,bnw,Epic,"NFR, CC#8"
DWG52,Intolerance,1916,D:Griffith,P:Griffith,SL:USA,bws,"Epic, Dram",H***
DWG53,Hearts of the World,1918,D:Griffith,PN:,SU:,prc,Ctxx,aw
DWG55,The Greatest Question,1919,D:Griffith,PN:,SU:,bws,Dram,aw
DWG57,Broken Blossoms,1919,D:Griffith,P:Griffith,St:U.A.,bws,Dram,H**
DWG58,True Heart Susie,1919,D:Griffith,P:,SU:,bws,Romt,
DWG64,Way Down East,1920,D:Griffith,P:Griffith,St:Griffith,"silent, col",Dram,H**
DWG66,One Exciting Night,1922,D:Griffith,PN:,SU:,prc,Ctxx,aw
DWG67,Orphans of the Storm,1922,D:Griffith,PN:,St:U.A.,sbw,Epic,H*
DWG71,America,1924,D:Griffith,P:Griffith,St:U.A.,"sbw,bnw","West,Dram",
DWG72,Isn't life Wonderful,1924,D:Griffith,PN:,St:Griffith,sbw,"Dram,Docu",
DWG75,Screen Snapshots,1926,D:Griffith,PU:,SU:,prc,Ctxx,
DWG80,Abraham Lincoln,1930,D:Griffith,PN:Joseph Schenck,St:U.A.,,BioP,W50
Z0210,Romeo and Juliet,1908,D:Unknown2,PN:,SL:USA,bws,Romt,aw
Z0220,Romeo and Juliet,1908,D:Unknown2,PN:,Lang(It),bws,Romt,aw
Z0230,Romeo and Juliet,1908,D:Unknown2,PN:,SL:GB,bws,Romt,aw
Z0240,Romeo and Juliet,1911,D:Unknown2,PN:,SL:USA,bws,Romt,aw
Z0250,Romeo and Juliet,1911,D:Unknown2,PN:,SL:It,bws,Romt,aw
Z0260,Romeo and Juliet,1916,D:Unknown2,PN:,SU:,bws,Romt,aw
Z0270,Romeo and Juliet,1916,D:Unknown2,PN:,SU:,bws,Romt,aw
Z0280,Romeo and Juliet,1996,D:Unknown2,PU:,SU:,col,Romt,aw
EiC10,Le Binetoscope,1909,D:Cohl,PN:,St:Gaumont,prc,Cart,aw
GdL10,"Marin Valiero, Doge of Venice",1909,D:deLiguoro,PN:,St:SaffiComerio,bws,Hist,aw
MCs2,The Pilgrim's Progress,1912,D:Caserini,PN:,St:Ambrosio,bws,Dram,aw
MCs3,Macbeth,1913,D:Caserini,PN:,St:Cines,bws,Dram,aw
MCs10,Love Everlasting,1913,D:Caserini,PN:,St:Artistica Gloria,bws,Dram,aw
WMk10,Gertie the Dino,1909,D:Mackay,PN:,SU:,bws,Cart,aw
FkP10,All on Account of Milk,1910,D:F.Powell,PN:,St:Biograph,bws,Romt,aw
GlS10,The Merchant of Venice,1910,D:loSavio,PN:,St:Film d'Arte Italia,bws,Dram,aw
ISB10,Life of Moses,1910,D:Blackton,PN:,St:Vitagraph,"col, silent",Biop,aw
ThB10,The Old Curiosity Shop,1913,D:Bentley,PN:,SU:,bws,Dram,aw
ThB30,The Old Curiosity Shop,1921,D:Bentley,PN:,SU:,bws,Dram,aw
ThB50,Young Woodley,1930,D:Bentley,PN:,SU:,prc,Ctxx,aw
ThB55,Hobson's Choice,1931,D:Bentley,PN:,St:BIP,,prc,Dram
ThB65,Those Were the Days,1934,D:Bentley,PN:,SU:,prc,Ctxx,aw
ThB70,The Old Curiosity Shop,1935,D:Bentley,PN:,SU:,bnw,,
ThB80,Lucky to Me,1939,D:Bentley,PN:,SU:,prc,Ctxx,aw
UgF10,Salome,1910,D:Falena,PN:,St:Film d'Arte Italiana,bws,Dram,aw
UgF12,Francesca di Rimini,1911,D:Falena,PN:,"St:Film d'Arte Italiana, Film d'Art Paris",bws,Romt,aw
APv10,Dante's Inferno,1911,D:Padovan,PN:,St:Milano Films,prc,Ctxx,aw
APv11,Homer's Odyssey,1911,D:Padovan,PN:,St:Milano Films,prc,Advt,aw
AuB10,The Vampire Dancer,1911,D:Blom,PN:,St:Great Northern,bws,Dram,aw
LcP15,L'Enfant de Paris,1913,D:Perret,PN:,SU:,prc,Ctxx,aw
OrM10,Clios and Phyletes,1911,D:Mentasti,PN:,St:Itala,bws,Ctxx,aw
ThI10,Little Dove's Romance,1911,D:Th.Ince,PN:,St:Bison,bws,West,
ThI18,Battle of the Red Men,1912,D:Th.Ince,PN:,St:Bison,bws,West,H-
ThI20,Custer's Last Fight,1912,D:Th.Ince,PN:,SU:,bws,CTxx,H-
ThI33,The Death Mask,1914,D:Th.Ince,P:Th.Ince,St:Kay Bee Columbia,bws,West,
ThI40,Civilization,1915,D:Th.Ince,PN:none,St:Triangle,bws,Fant,H***
ThI60,Human Wreckage,1924,D:Th.Ince,PN:,SU:,prc,CTxx,H-
ThI65,Custer's Last Fight,1925,D:Th.Ince,P:Th.ince,St:Quality Amusememt Inc.,bws,West,
UrG10,The Aviator's Generosity,1911,D:Gad,PN:,St:Great Northern,bws,Dram,aw
WmH10,A Tale of Two Cities,1911,D:Humphrey,PN:,SU:,bws,Dram,aw
ADw5,Maiden and Men,1912,D:Dwan,PN:,St:AMF,bws,Dram,
ADw6,Their Hero Son,1912,D:Dwan,PN:,St:AMF,bws,Dram,
ADw17,Robin Hood,1922,D:Dwan,P:Fairbanks sr,SU:,bws,Advt,H**
ADw22,The Iron Mask,1922,D:Dwan,P:Fairbanks sr,St:U.A.,"bnw,bws",Advt,
ADw27,Manhandled,1924,D:Dwan,PN:William leBaron,St:Paramount,bws,Romt,
ADw35,Heidi,1937,D:Dwan,P:R.Griffith,St:Fox,cld,Romt,"H*csd, Austria"
ADw40,Rebecca of Sunnybrook Farm,1938,D:Dwan,P:R.Griffith,St:Fox,bnw,Dram,H
ADw41,Suez,1938,D:Dwan,P:D.Markey,St:Fox,bnw,,H*
ADw45,The Three Musketeers,1939,D:Dwan,P:R.Griffith,St:Fox,bnw,Actn,"H**, [47]"
ADw52,Around the World,194e,Dwan,P:Dwan,St:RKO,bnw,Musc,aw
ADw60,Sands of Iwo Jima,1949,D:Dwan,PN:Edward Grainger,SU:,prc,Actn,aw
ADw70,Cattle Queen of Montana,1954,D:Dwan,P:Bogeaus,St:RKO,Tcol,West,H
ADw72,Passion,1954,D:Dwan,P:Bogeaus,St:RKO,Tcol,West,
ADw75,Tennessee's Partner,1954,D:Dwan,P:Bogeaus,St:RKO,Tcol,West,
ADw78,Pearl of the South Pacific,1955,D:Dwan,P:Bogeaus,St:RKO,Tcol,Advt,
ADw80,Slightly Scarlet,1956,D:Dwan,P:,St:RKO,col,Dram,
AEG25,The Ghost Breaker,1922,D:A.E.Green,PN:,St:Paramount,bws,,
AEG37,Baby Face,1933,D:A.E.Green,PN:,SU:,bnw,Dram,
AEG39,I Loved a Woman,1933,D:A.E.Green,P:Blanke,St:Warners,bnw,,H*
AEG41,Dangerous,1935,D:A.E.Green,PN:Harry Joe Brown,St:Warners,bnw,Dram,H*
AEG50,The Gracie Allen Murder Case,1935,D:A.E.Green,PN:,SU:,bnw,Myst,
AEG60,The Jolson Story,1946,D:A.E.Green,PN:Sidney Skolsky,St:Columbia,Tcol,"BioP,Musc",H****
AEG70,The Eddie Cantor Story,1953,D:A.E.Green,PN:Sidney Skolsky,St:Warners,Tcol,"BioP,Musc",H
JCw16,Step On It,1922,D:Conway,PN:,SU:,prc,Ctxx,aw
JCw41,Bringing Up Father,1928,D:Conway,PN:,SU:,,Comd,
JCw44,Our Modern Maidens,1929,D:Conway,PN:,SU:,bws,Romt,aw
JCw47,The Unholy Three,1930,D:Conway,PN:,SU:,prc,Ctxx,aw
JCw50,Just a Gigolo,1931,D:Conway,P:,St:MGM,bnw,Comd,H
JCw51,Arsène Lupin,1932,D:Conway,PN:,SU:,prc,Ctxx,aw
JCw53,Red-headed Woman,1932,D:Conway,PN:,SU:,prc,Dram,aw
JCw57,Viva Villa,1934,D:Conway,PN:,St:MGM,bnw,Epic,aw
JCw61,A Tale of Two Cities,1935,D:Conway,PN:Selznick,St:MGM,bnw,Dram,"H**, AAN, [47]"
JCw62,Libeled Lady,1936,D:Conway,PN:Lawrence Weingarten,St:MGM,bnw,Romt,"F77,H**, AAN"
JCw63,Sarasota,1937,D:Conway,PN:,SU:,prc,Ctxx,aw
JCw64,A Yank at Oxford,1938,D:Conway,PN:,SU:,prc,Ctxx,aw
JCw65,Too Hot To Handle,1938,D:Conway,PN:,SU:,prc,Ctxx,aw
JCw67,Lady of the Tropics,1939,D:Conway,PN:,SU:,prc,Ctxx,aw
JCw68,Boom Town,1940,D:Conway,PN:,SU:,prc,Ctxx,aw
JCw69,Love Crazy,1940,D:Conway,PN:,SU:,prc,Ctxx,aw
JCw70,Honky Tonk,1940,D:Conway,PN:,SU:,prc,Ctxx,aw
JCw73,Dragon Seed,1944,D:Conway,PN:,SU:,prc,Ctxx,aw
JCw75,The Hucksters,1947,D:Conway,PN:,SU:,prc,Ctxx,aw
JDu10,Comedy of the absurd,1912,D:Durand,PN:,St:Gaumont,prc,Comd,aw
MaT10,Alias Jimmy Valentine,1915,D:M.Tourneur,PN:World,SU:,bws,CnR,aw
MaT25,The Pride of the Clan,1917,D:M.Tourneur,PN:,SU:,bws,Dram,aw
MaT27,Poor Little Rich Girl,1917,D:M.Tourneur,PN:,SU:,bws,Dram,aw
MaT40,Au nom de la loi,1931,D:M.Tourneur,PU:,SU:,prc,CnR,
LMe10,Queen Elizabeth,1912,D:Mercanton,PN:,"St:Engadine Amusement Co, SL:Fr, SD:Famous",bws,BioP,
LoW3,How Men Propose,1913,D:Weber,PN:,St:Crystal,sbw,Dram,
LoW5,Where are My Children,1916,D:Weber,PN:,St:Universal,sbw,Dram,
LoW5,Where are My Children,1916,D:Weber,PN:,St:Universal,sbw,Dram,
LoW10,The Dumb Girl of Portici,1916,D:Weber,PN:,St:Universal,sbw,,
LoW11,"The Juvenile Dancer Supreme, Lena Basquette in a Group of Classical Dances",1916,D:Weber,PN:,St:Universal,sbw,,
LoW20,The Dance of Love,1920,D:Weber,PN:,St:Universal,sbw,,
LoW21,Shoes,1920,D:Weber,PN:,St:Universal,sbw,,
ME40,Nelson,1919,D:Elvey,PN:,SU:,prc,Ctxx,aw
ME60,The Elusive Pimpernel,1912,D:Elvey,PN:,SU:,prc,CTxx,
ME100,The Hound of the Baskervilles,1921,D:Elvey,PN:,SU:,prc,CTxx,
MEl130,Balalava,1928,D:Elvey,PN:,SU:,prc,Ctxx,aw
MEl150,The School for Scandal,1930,D:Elvey,PN:,SU:,prc,Ctxx,aw
ME180,The Lodger,1932,D:Elvey,PN:,SU:,bnw,Susp,
ME200,The Tunnel,1934,D:Elvey,PN:,SU:,prc,Ctxx,aw
ME240,The Spider,1940,D:Elvey,PN:Victor M. Greene,St:Admiral,bnw,Susp,H
ME270,Beware of Pity,1946,D:Elvey,PN:,SU:,prc,Ctxx,aw
